fullticker,ticker,Exchange
A:NYSE,A,NYSE
AA:NYSE,AA,NYSE
AAM:NYSE,AAM,NYSE
AAMI:NYSE,AAMI,NYSE
AAP:NYSE,AAP,NYSE
AAT:NYSE,AAT,NYSE
AAUC:NYSE,AAUC,NYSE
AB:NYSE,AB,NYSE
ABBV:NYSE,ABBV,NYSE
ABCB:NYSE,ABCB,NYSE
ABEV:NYSE,ABEV,NYSE
ABG:NYSE,ABG,NYSE
ABM:NYSE,ABM,NYSE
ABR:NYSE,ABR,NYSE
ABT:NYSE,ABT,NYSE
ACA:NYSE,ACA,NYSE
ACCO:NYSE,ACCO,NYSE
ACEL:NYSE,ACEL,NYSE
ACHR:NYSE,ACHR,NYSE
ACI:NYSE,ACI,NYSE
ACM:NYSE,ACM,NYSE
ACN:NYSE,ACN,NYSE
ACP:NYSE,ACP,NYSE
ACR:NYSE,ACR,NYSE
ACRE:NYSE,ACRE,NYSE
ACV:NYSE,ACV,NYSE
ACVA:NYSE,ACVA,NYSE
AD:NYSE,AD,NYSE
ADC:NYSE,ADC,NYSE
ADCT:NYSE,ADCT,NYSE
ADM:NYSE,ADM,NYSE
ADNT:NYSE,ADNT,NYSE
ADT:NYSE,ADT,NYSE
ADX:NYSE,ADX,NYSE
AEE:NYSE,AEE,NYSE
AEFC:NYSE,AEFC,NYSE
AEG:NYSE,AEG,NYSE
AEM:NYSE,AEM,NYSE
AEO:NYSE,AEO,NYSE
AER:NYSE,AER,NYSE
AERO:NYSE,AERO,NYSE
AES:NYSE,AES,NYSE
AESI:NYSE,AESI,NYSE
AEXA:NYSE,AEXA,NYSE
AFB:NYSE,AFB,NYSE
AFG:NYSE,AFG,NYSE
AFGB:NYSE,AFGB,NYSE
AFGC:NYSE,AFGC,NYSE
AFGD:NYSE,AFGD,NYSE
AFGE:NYSE,AFGE,NYSE
AFL:NYSE,AFL,NYSE
AG:NYSE,AG,NYSE
AGCO:NYSE,AGCO,NYSE
AGD:NYSE,AGD,NYSE
AGI:NYSE,AGI,NYSE
AGL:NYSE,AGL,NYSE
AGM:NYSE,AGM,NYSE
AGO:NYSE,AGO,NYSE
AGRO:NYSE,AGRO,NYSE
AGX:NYSE,AGX,NYSE
AHH:NYSE,AHH,NYSE
AHL:NYSE,AHL,NYSE
AHR:NYSE,AHR,NYSE
AHT:NYSE,AHT,NYSE
AI:NYSE,AI,NYSE
AIG:NYSE,AIG,NYSE
AII:NYSE,AII,NYSE
AIIA:NYSE,AIIA,NYSE
AIN:NYSE,AIN,NYSE
AIO:NYSE,AIO,NYSE
AIR:NYSE,AIR,NYSE
AIT:NYSE,AIT,NYSE
AIV:NYSE,AIV,NYSE
AIZ:NYSE,AIZ,NYSE
AIZN:NYSE,AIZN,NYSE
AJG:NYSE,AJG,NYSE
AKA:NYSE,AKA,NYSE
AKR:NYSE,AKR,NYSE
AL:NYSE,AL,NYSE
ALB:NYSE,ALB,NYSE
ALC:NYSE,ALC,NYSE
ALEX:NYSE,ALEX,NYSE
ALG:NYSE,ALG,NYSE
ALH:NYSE,ALH,NYSE
ALIT:NYSE,ALIT,NYSE
ALK:NYSE,ALK,NYSE
ALL:NYSE,ALL,NYSE
ALLE:NYSE,ALLE,NYSE
ALLY:NYSE,ALLY,NYSE
ALSN:NYSE,ALSN,NYSE
ALTG:NYSE,ALTG,NYSE
ALUR:NYSE,ALUR,NYSE
ALV:NYSE,ALV,NYSE
ALX:NYSE,ALX,NYSE
AM:NYSE,AM,NYSE
AMBP:NYSE,AMBP,NYSE
AMBQ:NYSE,AMBQ,NYSE
AMC:NYSE,AMC,NYSE
AMCR:NYSE,AMCR,NYSE
AME:NYSE,AME,NYSE
AMG:NYSE,AMG,NYSE
AMH:NYSE,AMH,NYSE
AMN:NYSE,AMN,NYSE
AMP:NYSE,AMP,NYSE
AMPX:NYSE,AMPX,NYSE
AMPY:NYSE,AMPY,NYSE
AMR:NYSE,AMR,NYSE
AMRC:NYSE,AMRC,NYSE
AMRZ:NYSE,AMRZ,NYSE
AMT:NYSE,AMT,NYSE
AMTB:NYSE,AMTB,NYSE
AMTD:NYSE,AMTD,NYSE
AMTM:NYSE,AMTM,NYSE
AMWL:NYSE,AMWL,NYSE
AMX:NYSE,AMX,NYSE
AN:NYSE,AN,NYSE
ANDG:NYSE,ANDG,NYSE
ANET:NYSE,ANET,NYSE
ANF:NYSE,ANF,NYSE
ANGX:NYSE,ANGX,NYSE
ANRO:NYSE,ANRO,NYSE
ANVS:NYSE,ANVS,NYSE
AOD:NYSE,AOD,NYSE
AOMD:NYSE,AOMD,NYSE
AOMN:NYSE,AOMN,NYSE
AOMR:NYSE,AOMR,NYSE
AON:NYSE,AON,NYSE
AORT:NYSE,AORT,NYSE
AOS:NYSE,AOS,NYSE
AP:NYSE,AP,NYSE
APAM:NYSE,APAM,NYSE
APD:NYSE,APD,NYSE
APG:NYSE,APG,NYSE
APH:NYSE,APH,NYSE
APLE:NYSE,APLE,NYSE
APO:NYSE,APO,NYSE
APOS:NYSE,APOS,NYSE
APTV:NYSE,APTV,NYSE
AQN:NYSE,AQN,NYSE
AQNB:NYSE,AQNB,NYSE
AR:NYSE,AR,NYSE
ARCO:NYSE,ARCO,NYSE
ARDC:NYSE,ARDC,NYSE
ARDT:NYSE,ARDT,NYSE
ARE:NYSE,ARE,NYSE
